lat_values,lng_values,city,country,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
-37.22166041097365,-60.07931270092722,olavarria,ar,,,,, , 
15.787322516847155,29.95676342483631,bara,sd,,,,, , 
-35.03945412219976,-102.47108265929741,lebu,cl,,,,, , 
60.55845215371994,-106.02697171550898,la ronge,ca,,,,, , 
-82.23754650416154,-179.55587232271085,vaini,to,,,,, , 
2.0854390438043,161.0811709694034,kieta,pg,,,,, , 
17.995680076842262,-92.5525908718621,pemex,mx,,,,, , 
-71.09502759761584,-65.91535671001957,ushuaia,ar,,,,, , 
-50.0028554563448,-139.78648203760685,rikitea,pf,,,,, , 
-59.70082232060739,84.79035832169853,busselton,au,,,,, , 
14.247356486899704,175.54819279360248,butaritari,ki,,,,, , 
77.21906046706997,127.31423237217774,tiksi,ru,,,,, , 
77.08651251570427,32.986762984408045,vardo,no,,,,, , 
38.03848941724479,114.95341341693046,luancheng,cn,,,,, , 
16.79560881046288,-99.14246107457805,cruz grande,mx,,,,, , 
53.391992160959774,138.98977375500812,mnogovershinnyy,ru,,,,, , 
11.97731932392027,55.381226854874996,bereda,so,,,,, , 
31.501805390761703,107.65483686302764,daxian,cn,,,,, , 
51.38509823749385,128.33007049397366,svobodnyy,ru,,,,, , 
-35.97307679314825,37.201267662124735,margate,za,,,,, , 
-17.229212766174115,-140.1851902312238,atuona,pf,,,,, , 
-17.429396880422033,-152.8558704074747,vaitape,pf,,,,, , 
69.25086594771787,115.84337194489291,saskylakh,ru,,,,, , 
54.21033328977859,103.0266296097351,ust-uda,ru,,,,, , 
-31.97019455155106,-62.99517007936326,villa maria,ar,,,,, , 
-14.495977327507433,56.84107741831147,cap malheureux,mu,,,,, , 
-7.57438472741579,-152.2555294465096,faanui,pf,,,,, , 
-27.571080301525498,-63.28860708443631,santiago del estero,ar,,,,, , 
-84.78081916247208,-98.88095107378295,punta arenas,cl,,,,, , 
82.62508754872036,25.490604522296877,longyearbyen,sj,,,,, , 
42.7340072970685,-105.5213679748896,douglas,us,,,,, , 
48.69518284913738,-38.31358459421048,nanortalik,gl,,,,, , 
51.05622132666369,-18.31265962538842,dingle,ie,,,,, , 
76.62895525627803,-126.86937384085944,tuktoyaktuk,ca,,,,, , 
56.098188561874764,38.16891617377195,krasnoarmeysk,ru,,,,, , 
14.964839043460856,-164.95762043487596,kapaa,us,,,,, , 
65.43275497064869,-93.17130414163255,thompson,ca,,,,, , 
22.56491389734674,35.51674202880022,umm lajj,sa,,,,, , 
-14.67334192809011,29.188755890743238,kabwe,zm,,,,, , 
-21.060390375645625,21.423030805107913,ghanzi,bw,,,,, , 
-36.590219550154075,120.88743737667329,esperance,au,,,,, , 
22.15557625726197,20.317710227811574,faya,td,,,,, , 
70.31906577097521,157.17976767526187,cherskiy,ru,,,,, , 
72.87570640799441,-169.4207203184394,lavrentiya,ru,,,,, , 
38.00714072685989,75.33635212432947,kashi,cn,,,,, , 
61.50435381573982,118.25164748019728,suntar,ru,,,,, , 
-6.269609704278608,90.89061102211951,padang,id,,,,, , 
10.143508306007249,-53.16070749298693,mana,gf,,,,, , 
62.2935901967237,-57.31802786499455,maniitsoq,gl,,,,, , 
69.57976180922881,-86.20891949564792,attawapiskat,ca,,,,, , 
71.73753313932636,144.46080341060252,chokurdakh,ru,,,,, , 
53.87278186754679,161.3625454149605,klyuchi,ru,,,,, , 
